SampleName,Strain,Replicate,Barcode,Strain_Rep
daf2_I_10S,daf2,I,10S,daf2_I
daf2_I_11S,daf2,I,11S,daf2_I
daf2_I_12S,daf2,I,12S,daf2_I
daf2_I_13S,daf2,I,13S,daf2_I
daf2_I_14S,daf2,I,14S,daf2_I
daf2_I_15S,daf2,I,15S,daf2_I
daf2_I_16S,daf2,I,16S,daf2_I
daf2_I_17S,daf2,I,17S,daf2_I
daf2_I_18S,daf2,I,18S,daf2_I
daf2_I_19S,daf2,I,19S,daf2_I
daf2_I_1S,daf2,I,1S,daf2_I
daf2_I_20S,daf2,I,20S,daf2_I
daf2_I_21S,daf2,I,21S,daf2_I
daf2_I_22S,daf2,I,22S,daf2_I
daf2_I_23S,daf2,I,23S,daf2_I
daf2_I_24S,daf2,I,24S,daf2_I
daf2_I_25S,daf2,I,25S,daf2_I
daf2_I_26S,daf2,I,26S,daf2_I
daf2_I_27S,daf2,I,27S,daf2_I
daf2_I_28S,daf2,I,28S,daf2_I
daf2_I_29S,daf2,I,29S,daf2_I
daf2_I_2S,daf2,I,2S,daf2_I
daf2_I_30S,daf2,I,30S,daf2_I
daf2_I_31S,daf2,I,31S,daf2_I
daf2_I_32S,daf2,I,32S,daf2_I
daf2_I_33S,daf2,I,33S,daf2_I
daf2_I_34S,daf2,I,34S,daf2_I
daf2_I_35S,daf2,I,35S,daf2_I
daf2_I_36S,daf2,I,36S,daf2_I
daf2_I_37S,daf2,I,37S,daf2_I
daf2_I_38S,daf2,I,38S,daf2_I
daf2_I_39S,daf2,I,39S,daf2_I
daf2_I_3S,daf2,I,3S,daf2_I
daf2_I_40S,daf2,I,40S,daf2_I
daf2_I_41S,daf2,I,41S,daf2_I
daf2_I_42S,daf2,I,42S,daf2_I
daf2_I_43S,daf2,I,43S,daf2_I
daf2_I_44S,daf2,I,44S,daf2_I
daf2_I_45S,daf2,I,45S,daf2_I
daf2_I_46S,daf2,I,46S,daf2_I
daf2_I_47S,daf2,I,47S,daf2_I
daf2_I_48S,daf2,I,48S,daf2_I
daf2_I_4S,daf2,I,4S,daf2_I
daf2_I_5S,daf2,I,5S,daf2_I
daf2_I_6S,daf2,I,6S,daf2_I
daf2_I_7S,daf2,I,7S,daf2_I
daf2_I_8S,daf2,I,8S,daf2_I
daf2_I_9S,daf2,I,9S,daf2_I
daf2_II_10S,daf2,II,10S,daf2_II
daf2_II_11S,daf2,II,11S,daf2_II
daf2_II_12S,daf2,II,12S,daf2_II
daf2_II_13S,daf2,II,13S,daf2_II
daf2_II_14S,daf2,II,14S,daf2_II
