"SampleName","Strain","Replicate","Barcode","Strain_Rep","library_size","detected_genes","log_library_size","exclude_low_library","exclude_low_detected","exclude_missing_design","keep_sample","exclusion_reason","alignment_status"
"daf2_I_10S","daf2","I","10S","daf2_I",456170,9868,13.0306208260388,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_11S","daf2","I","11S","daf2_I",151545,7459,11.9286378895299,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_12S","daf2","I","12S","daf2_I",389235,9669,12.8719385533083,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_13S","daf2","I","13S","daf2_I",452407,9966,13.0223374961371,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_14S","daf2","I","14S","daf2_I",142242,7479,11.8652851113913,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_15S","daf2","I","15S","daf2_I",357761,9470,12.7876204446749,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_16S","daf2","I","16S","daf2_I",769555,11186,13.5535677046906,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_17S","daf2","I","17S","daf2_I",263491,9007,12.4817744907825,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_18S","daf2","I","18S","daf2_I",371169,9709,12.8244127634757,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_19S","daf2","I","19S","daf2_I",344419,9622,12.7496142184228,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_1S","daf2","I","1S","daf2_I",375594,9507,12.8362640517478,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_20S","daf2","I","20S","daf2_I",314281,9104,12.6580427691607,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_21S","daf2","I","21S","daf2_I",199091,8338,12.2015172856152,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_22S","daf2","I","22S","daf2_I",266569,9181,12.493388400896,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_23S","daf2","I","23S","daf2_I",301321,9010,12.615931420665,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_24S","daf2","I","24S","daf2_I",277765,8857,12.5345307114442,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_25S","daf2","I","25S","daf2_I",291234,8944,12.5818823467307,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_26S","daf2","I","26S","daf2_I",266593,8670,12.4934784298179,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_27S","daf2","I","27S","daf2_I",251174,8570,12.4339012050346,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_28S","daf2","I","28S","daf2_I",355244,9466,12.7805601563023,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_29S","daf2","I","29S","daf2_I",277578,8992,12.5338572537538,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_30S","daf2","I","30S","daf2_I",277673,9084,12.5341994413444,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_31S","daf2","I","31S","daf2_I",356474,9530,12.7840165849006,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_33S","daf2","I","33S","daf2_I",481149,9954,13.0839322724284,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_34S","daf2","I","34S","daf2_I",395545,9525,12.8880198397427,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_35S","daf2","I","35S","daf2_I",450741,10074,13.0186481741441,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_36S","daf2","I","36S","daf2_I",243766,8571,12.4039640277315,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_37S","daf2","I","37S","daf2_I",353545,9450,12.7757660546611,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_39S","daf2","I","39S","daf2_I",448301,9954,13.0132201607902,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_3S","daf2","I","3S","daf2_I",386483,9911,12.8648431615662,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_40S","daf2","I","40S","daf2_I",404458,9638,12.9103031781986,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_41S","daf2","I","41S","daf2_I",123949,7320,11.7276254696615,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_42S","daf2","I","42S","daf2_I",469296,9871,13.0589889784136,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_43S","daf2","I","43S","daf2_I",352416,9646,12.7725675749647,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_44S","daf2","I","44S","daf2_I",376010,9575,12.8373710177631,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_45S","daf2","I","45S","daf2_I",364986,9549,12.8076142756646,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_46S","daf2","I","46S","daf2_I",458401,9798,13.0354996258812,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_47S","daf2","I","47S","daf2_I",356835,9522,12.7850287690475,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_48S","daf2","I","48S","daf2_I",280624,8887,12.5447709739979,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_4S","daf2","I","4S","daf2_I",382425,9786,12.8542878345915,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_5S","daf2","I","5S","daf2_I",353105,9515,12.7745207421108,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_6S","daf2","I","6S","daf2_I",426190,9916,12.9626405352086,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_7S","daf2","I","7S","daf2_I",440581,10026,12.9958495894065,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_8S","daf2","I","8S","daf2_I",271253,9014,12.5108072436835,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_I_9S","daf2","I","9S","daf2_I",282520,9124,12.5515046235229,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_10S","daf2","II","10S","daf2_II",4978186,13177,15.420576125615,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_11S","daf2","II","11S","daf2_II",3142527,12403,14.9605378112951,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_12S","daf2","II","12S","daf2_II",5262657,13118,15.476146590257,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_13S","daf2","II","13S","daf2_II",3808530,12645,15.1527538458809,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_14S","daf2","II","14S","daf2_II",4906464,13057,15.406064077396,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_15S","daf2","II","15S","daf2_II",5163362,13091,15.4570984756785,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_16S","daf2","II","16S","daf2_II",5320421,13449,15.4870629935251,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_17S","daf2","II","17S","daf2_II",3381802,12535,15.0339192614873,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_18S","daf2","II","18S","daf2_II",5281134,13254,15.4796514053494,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_19S","daf2","II","19S","daf2_II",4565662,13166,15.3340740779267,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_1S","daf2","II","1S","daf2_II",998915,10407,13.8144249689257,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_20S","daf2","II","20S","daf2_II",4124986,12794,15.2325731838058,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_21S","daf2","II","21S","daf2_II",3210847,12512,14.9820453232288,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_22S","daf2","II","22S","daf2_II",4497604,13176,15.3190553684972,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_23S","daf2","II","23S","daf2_II",4141256,13010,15.2365096814331,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_24S","daf2","II","24S","daf2_II",3588260,12572,15.0931779633036,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_25S","daf2","II","25S","daf2_II",2743487,12280,14.8247402969972,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_26S","daf2","II","26S","daf2_II",4316662,12736,15.27799297636,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_27S","daf2","II","27S","daf2_II",4112154,12755,15.2294575367777,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_28S","daf2","II","28S","daf2_II",3632160,12670,15.1053380705965,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_29S","daf2","II","29S","daf2_II",4587109,13084,15.3387605361049,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_2S","daf2","II","2S","daf2_II",2615196,11963,14.7768496048712,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_30S","daf2","II","30S","daf2_II",4087343,12911,15.223405683664,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_31S","daf2","II","31S","daf2_II",3774845,12690,15.1438698802196,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_32S","daf2","II","32S","daf2_II",2980910,12454,14.9077391809934,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_33S","daf2","II","33S","daf2_II",3941608,12802,15.1870993198425,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_34S","daf2","II","34S","daf2_II",5289702,13263,15.4812724695445,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_35S","daf2","II","35S","daf2_II",8429921,14195,15.9472979586411,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_36S","daf2","II","36S","daf2_II",2948943,12196,14.8969573590247,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_37S","daf2","II","37S","daf2_II",4671565,12785,15.3570046912787,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_38S","daf2","II","38S","daf2_II",4471808,12968,15.313303359085,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_39S","daf2","II","39S","daf2_II",4392846,13022,15.2954878665729,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_3S","daf2","II","3S","daf2_II",5170053,13386,15.4583934978827,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_40S","daf2","II","40S","daf2_II",4521167,13010,15.3242807043249,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_41S","daf2","II","41S","daf2_II",3638311,13089,15.1070301209375,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_42S","daf2","II","42S","daf2_II",4958194,13345,15.4165521194927,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_43S","daf2","II","43S","daf2_II",5475871,13593,15.5158619077719,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_44S","daf2","II","44S","daf2_II",4162391,12740,15.2416002267418,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_45S","daf2","II","45S","daf2_II",4941578,13364,15.4131952713546,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_46S","daf2","II","46S","daf2_II",2498615,11826,14.7312471363237,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_47S","daf2","II","47S","daf2_II",5516280,13381,15.5232142780283,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_48S","daf2","II","48S","daf2_II",2383065,11683,14.6838980322511,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_4S","daf2","II","4S","daf2_II",5488826,13491,15.5182249472664,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_5S","daf2","II","5S","daf2_II",4882851,13052,15.40123982855,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_6S","daf2","II","6S","daf2_II",5295756,13221,15.4824163030301,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_7S","daf2","II","7S","daf2_II",4256291,13079,15.2639086817264,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_8S","daf2","II","8S","daf2_II",3919532,12814,15.1814828168843,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"daf2_II_9S","daf2","II","9S","daf2_II",271471,8319,12.5116105986548,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_10S","N2","I","10S","N2_I",862756,12007,13.667887195442,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_11S","N2","I","11S","N2_I",287784,10052,12.5699654777274,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_12S","N2","I","12S","N2_I",1108569,12209,13.91858055238,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_13S","N2","I","13S","N2_I",418081,10750,12.9434304726383,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_14S","N2","I","14S","N2_I",1110188,12151,13.9200399283165,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_15S","N2","I","15S","N2_I",1092378,12456,13.9038675292357,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_16S","N2","I","16S","N2_I",1199795,12183,13.9976612668312,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_17S","N2","I","17S","N2_I",1151802,11696,13.9568382304658,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_18S","N2","I","18S","N2_I",705273,12031,13.4663402408812,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_19S","N2","I","19S","N2_I",622295,11476,13.3411695358151,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_1S","N2","I","1S","N2_I",416316,10988,12.9391998662663,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_20S","N2","I","20S","N2_I",135852,8274,11.8193213368661,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_21S","N2","I","21S","N2_I",218761,9188,12.2957350886699,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_23S","N2","I","23S","N2_I",183423,9028,12.1195502398837,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_24S","N2","I","24S","N2_I",138895,8064,11.8414735309743,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_25S","N2","I","25S","N2_I",1059053,12014,13.8728856705456,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_27S","N2","I","27S","N2_I",486497,10882,13.0949860140938,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_28S","N2","I","28S","N2_I",637737,11379,13.3656812516332,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_29S","N2","I","29S","N2_I",263608,10119,12.4822184301636,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_2S","N2","I","2S","N2_I",283687,9842,12.5556267966945,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_30S","N2","I","30S","N2_I",285790,10642,12.5630125543626,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_31S","N2","I","31S","N2_I",1071482,12261,13.8845532948746,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_32S","N2","I","32S","N2_I",973624,11848,13.7887804711322,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_33S","N2","I","33S","N2_I",642350,11070,13.3728886054598,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_34S","N2","I","34S","N2_I",843924,11853,13.6458177221302,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_35S","N2","I","35S","N2_I",1005667,12231,13.8211615609281,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_36S","N2","I","36S","N2_I",797839,11336,13.5896621016908,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_37S","N2","I","37S","N2_I",958996,11732,13.7736421828454,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_38S","N2","I","38S","N2_I",675469,11632,13.4231625433974,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_39S","N2","I","39S","N2_I",818249,11860,13.6149219702423,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_3S","N2","I","3S","N2_I",878142,12088,13.6855635907475,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_40S","N2","I","40S","N2_I",807092,11675,13.6011929432326,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_41S","N2","I","41S","N2_I",1102819,12088,13.9133801868553,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_42S","N2","I","42S","N2_I",665026,11622,13.4075814166181,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_43S","N2","I","43S","N2_I",786652,11705,13.5755412440921,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_44S","N2","I","44S","N2_I",768164,11207,13.5517585309997,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_45S","N2","I","45S","N2_I",602510,11382,13.3088595417196,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_46S","N2","I","46S","N2_I",324170,10052,12.6890233485301,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_47S","N2","I","47S","N2_I",314644,10231,12.6591971199667,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_48S","N2","I","48S","N2_I",325683,9803,12.6936797946304,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_4S","N2","I","4S","N2_I",1230497,12280,14.022928710777,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_5S","N2","I","5S","N2_I",967517,11942,13.7824882747911,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_6S","N2","I","6S","N2_I",1140902,12221,13.9473297355849,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_7S","N2","I","7S","N2_I",550305,11203,13.2182279489597,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_8S","N2","I","8S","N2_I",893987,11722,13.7034465126629,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_I_9S","N2","I","9S","N2_I",883379,11666,13.6915096060712,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_17S","N2","II","17S","N2_II",490330,8552,13.1028339127958,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_18S","N2","II","18S","N2_II",531387,8581,13.1832458483278,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_19S","N2","II","19S","N2_II",751678,9345,13.5300633197425,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_1S","N2","II","1S","N2_II",350576,7757,12.7673327950475,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_20S","N2","II","20S","N2_II",541164,8456,13.2014776542193,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_22S","N2","II","22S","N2_II",787278,9691,13.5763367051774,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_23S","N2","II","23S","N2_II",319971,7615,12.6759856456692,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_25S","N2","II","25S","N2_II",484758,8369,13.091405076321,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_26S","N2","II","26S","N2_II",636353,8788,13.3635087197958,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_27S","N2","II","27S","N2_II",672571,8930,13.4188629610935,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_28S","N2","II","28S","N2_II",630667,9076,13.3545332684669,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_2S","N2","II","2S","N2_II",810017,9464,13.6048105140827,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_30S","N2","II","30S","N2_II",750549,9464,13.5285602177312,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_31S","N2","II","31S","N2_II",123290,7163,11.7222945828626,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_32S","N2","II","32S","N2_II",558948,9445,13.2338117245545,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_34S","N2","II","34S","N2_II",944800,9859,13.7587285438653,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_35S","N2","II","35S","N2_II",973061,9865,13.788202051906,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_37S","N2","II","37S","N2_II",510959,8582,13.1440446311332,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_38S","N2","II","38S","N2_II",921386,9823,13.7336343370989,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_39S","N2","II","39S","N2_II",381032,8406,12.8506386400832,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_3S","N2","II","3S","N2_II",870062,9948,13.6763197524594,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_40S","N2","II","40S","N2_II",483351,8126,13.0884983767848,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_41S","N2","II","41S","N2_II",1093744,10001,13.9051172309246,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_42S","N2","II","42S","N2_II",1168577,9931,13.9712973272384,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_43S","N2","II","43S","N2_II",452414,8791,13.0223529688107,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_44S","N2","II","44S","N2_II",995521,9915,13.8110214971911,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_45S","N2","II","45S","N2_II",1441858,10509,14.1814431176369,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_46S","N2","II","46S","N2_II",1058487,9877,13.8723510879512,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_47S","N2","II","47S","N2_II",975040,9889,13.7902337747795,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_48S","N2","II","48S","N2_II",1148990,9785,13.9543938535728,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_4S","N2","II","4S","N2_II",1210582,10327,14.006611793669,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_5S","N2","II","5S","N2_II",1046458,9934,13.8609216862835,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_7S","N2","II","7S","N2_II",1079813,9737,13.8922984359604,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_II_8S","N2","II","8S","N2_II",147887,7004,11.9042037476078,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_10S","N2","III","10S","N2_III",880164,7685,13.6878635327272,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_12S","N2","III","12S","N2_III",971837,7192,13.7869433739069,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_13S","N2","III","13S","N2_III",846781,7436,13.6491973805797,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_15S","N2","III","15S","N2_III",994845,7443,13.8103422251115,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_16S","N2","III","16S","N2_III",1178720,7850,13.9799396619166,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_17S","N2","III","17S","N2_III",945108,7964,13.7590544856601,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_18S","N2","III","18S","N2_III",1054427,7763,13.8685080493828,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_19S","N2","III","19S","N2_III",976066,7604,13.7912854860597,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_1S","N2","III","1S","N2_III",1242843,8178,14.0329120551944,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_20S","N2","III","20S","N2_III",987818,7430,13.8032537492348,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_21S","N2","III","21S","N2_III",601768,6780,13.3076272679524,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_22S","N2","III","22S","N2_III",1024937,7951,13.8401417052511,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_23S","N2","III","23S","N2_III",883248,7067,13.6913613008543,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_24S","N2","III","24S","N2_III",554251,6046,13.2253729317169,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_26S","N2","III","26S","N2_III",635753,6884,13.3625654021093,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_27S","N2","III","27S","N2_III",1041354,7687,13.8560323474275,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_28S","N2","III","28S","N2_III",1044470,8176,13.8590201376898,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_29S","N2","III","29S","N2_III",857161,7340,13.6613810445797,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_2S","N2","III","2S","N2_III",1160916,7908,13.9647199066413,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_30S","N2","III","30S","N2_III",767760,7469,13.5512324632915,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_31S","N2","III","31S","N2_III",699037,7260,13.4574589525761,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_32S","N2","III","32S","N2_III",1075296,8260,13.8881065304796,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_33S","N2","III","33S","N2_III",520136,7469,13.1618455948239,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_34S","N2","III","34S","N2_III",1271883,8315,14.0560090375196,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_35S","N2","III","35S","N2_III",1162188,8641,13.9658149933246,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_36S","N2","III","36S","N2_III",547988,6317,13.2140086678802,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_37S","N2","III","37S","N2_III",549786,7437,13.2172843905841,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_38S","N2","III","38S","N2_III",862654,7753,13.667768962674,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_39S","N2","III","39S","N2_III",1004452,8090,13.8199526771277,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_3S","N2","III","3S","N2_III",800145,7594,13.5925482402263,FALSE,FALSE,FALSE,TRUE,"retained","matched"
"N2_III_40S","N2","III","40S","N2_III",552388,6786,13.2220059768925,FALSE,FALSE,FALSE,TRUE,"retained","matched"
