"Gene","starvation_dispersion_effect","starvation_dispersion_fdr","starvation_mean_effect","starvation_mean_fdr","recommended_use","stability_class","classification"
"WBGene00000001",-0.322142479833042,0.200420070502539,-0.846081092131267,2.31029245980531e-26,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000002",-0.584599431818397,0.0228458977466177,0.864204106977669,5.31012904024089e-07,"retain_for_primary_interpretation","stable","both"
"WBGene00000003",-0.369618536973352,0.112346048383408,0.764266799712917,4.96237285198166e-05,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000004",0.0999362927302401,0.774105402172861,-0.0224733053379878,0.870274446450072,"retain_for_primary_interpretation","stable","neither"
"WBGene00000005",0.202639048722815,0.806100442053307,-2.57195185417445,3.56844033452449e-09,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000006",-1.39573674506493,1.10196370607628e-12,0.931252643103518,1.51051373848263e-17,"retain_for_primary_interpretation","stable","both"
"WBGene00000007",0.30499237649223,0.377919587631307,0.00883350465636014,0.980539302199165,"retain_for_primary_interpretation","stable","neither"
"WBGene00000009",-0.0143549545798777,0.987112929738626,1.11709278625272,0.010781077397722,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000010",0.188855884942769,0.510975401275347,-1.13925797244667,1.18977661033028e-16,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000013",-2.07240381359392,2.44147476726891e-25,1.47047412833696,2.76990787870861e-19,"retain_for_primary_interpretation","stable","both"
"WBGene00000016",-1.75692916653565,2.25884950735045e-12,0.716799045298987,1.05988695678491e-07,"retain_for_primary_interpretation","stable","both"
"WBGene00000017",-1.20899462623672,3.12675430606129e-07,0.723286208455231,2.00441617855942e-17,"retain_for_primary_interpretation","stable","both"
"WBGene00000018",-0.247724465169889,0.278592089123381,0.0553422640877156,0.599740188759718,"retain_for_primary_interpretation","stable","neither"
"WBGene00000020",-0.958884765180176,2.36314951728419e-05,0.0954848332600357,0.400344756124816,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000022",-1.36071857779088,3.78753461800455e-07,-0.617024704573055,0.000105471639962997,"retain_for_primary_interpretation","stable","both"
"WBGene00000023",20.2819579816483,0.9954298559645,12.3046961509234,0.927432516899242,"review_manually_before_high-confidence_use","review","neither"
"WBGene00000031",-2.41038532270209,0.00369493754122341,-3.72481323969987,0.0462504518360666,"retain_for_primary_interpretation","stable","both"
"WBGene00000034",5.42166254853007,0.181325463941554,3.78114251475473,0.0767571976694717,"review_manually_before_high-confidence_use","review","neither"
"WBGene00000035",-0.430596088477787,0.0909502862989293,0.755052848229938,0.00115246721185059,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000036",-2.49443933924927,0.000288885014332231,0.200309987901722,0.72266222084347,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000037",-1.00084647661445,1.09637755850986e-06,0.911552176234692,3.0271700376268e-08,"retain_for_primary_interpretation","stable","both"
"WBGene00000038",-1.49023306453527,0.000804828514674633,0.958579053383752,0.0107611938221367,"retain_for_primary_interpretation","stable","both"
"WBGene00000039",NA,NA,-1.046584494671,0.00784211376851374,"exclude_from_primary_interpretation","high_risk","mean_only"
"WBGene00000040",-0.616255386917597,0.00660361332270274,-0.180131902252193,0.00758138250610018,"retain_for_primary_interpretation","stable","both"
"WBGene00000041",-2.88188084778872,2.18315150310416e-27,-1.06870772296839,1.97299403739784e-17,"retain_for_primary_interpretation","stable","both"
"WBGene00000042",-1.47104883875712,0.000704357115038608,1.19171444394815,1.23441326150719e-05,"retain_for_primary_interpretation","stable","both"
"WBGene00000043",-1.53732056157552,0.000136701651336377,0.307577813213221,0.335458020368547,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000044",-1.23993191764692,0.271648870404885,0.149090105759064,0.899996416447017,"review_manually_before_high-confidence_use","review","neither"
"WBGene00000045",-2.33628837173035,0.0458671127869881,-1.95028353165686,0.308932248690928,"review_manually_before_high-confidence_use","review","dispersion_only"
"WBGene00000046",-1.19927500017885,0.000466219009038723,0.488147941910555,0.0303981315657279,"retain_for_primary_interpretation","stable","both"
"WBGene00000047",-1.58515548147068,6.80414912486543e-05,0.267102525296614,0.477664290283379,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000048",-2.67081789432801,0.00102396320035012,-0.447471881342147,0.588776157291219,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000049",-1.11807484231865,0.101490743209697,0.931789383924929,0.0471067477993965,"retain_for_primary_interpretation","stable","mean_only"
"WBGene00000050",-0.840828037517902,0.00658474210727518,-0.159325963061226,0.576803904142972,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000051",-1.28286284718789,0.000110642197130809,0.395203079316729,0.293187655667331,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000053",-1.35890330111752,0.0717076397534997,1.50009614681321,0.0329092078500784,"review_manually_before_high-confidence_use","review","mean_only"
"WBGene00000054",-0.908792232868825,6.48064276251201e-05,0.115658818801546,0.5881911657261,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000055",-0.589691199134178,0.00605405835743278,0.601775930532263,0.00391577442357403,"retain_for_primary_interpretation","stable","both"
"WBGene00000056",-1.10877295332716,0.00150610756780164,0.658754948739476,0.0282264725634947,"retain_for_primary_interpretation","stable","both"
"WBGene00000057",-2.43329592460992,1.0204157316164e-05,-0.102403524451817,0.738770933054385,"retain_for_primary_interpretation","stable","dispersion_only"
"WBGene00000058",-0.636560665951738,0.021778610271675,0.682428132941558,3.34041897215408e-05,"retain_for_primary_interpretation","stable","both"
"WBGene00000059",-0.886842349762375,0.00180083643304502,0.888593081062913,0.000359205721984102,"retain_for_primary_interpretation","stable","both"
